"","SRR20959676_GSM6435908_C-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959677_GSM6435907_C-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R1","SRR20959678_GSM6435906_C-PJI02_Staphylococcus_aureus_trimmed_R2","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R1","SRR20959679_GSM6435905_C-PJI01_Staphylococcus_aureus_trimmed_R2","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R1","SRR20959680_GSM6435904_A-PJI04_Staphylococcus_aureus_trimmed_R2","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R1","SRR20959681_GSM6435903_A-PJI03_Staphylococcus_aureus_trimmed_R2","SRR20959682_GSM6435902_A-PJI02_Staphylococcus_aureus_trimmed_R1"
"gene-SAOUHSC_01761a",2.06878226500577,4.68696388841515,5.03095334375318,2.06878226500577,3.24204606071223,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,3.01820889575223
"gene-SAOUHSC_01762",3.37134560860125,3.79627112960395,2.06878226500577,3.71123585042146,3.24204606071223,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.06878226500577,2.46219629811826
"gene-SAOUHSC_01763",3.06717203439308,3.10442823974499,3.10486155761016,3.71123585042146,3.41213508582793,2.06878226500577,2.06878226500577,3.14617058727943,2.95321905342805,3.9090853104463,3.76058546626491,3.15885988835518
"gene-SAOUHSC_01764",2.78164797512025,3.50501103140423,3.50559044761364,3.43214455742864,3.5584771984786,3.07512880396197,3.46418846672221,2.95504881649884,3.14397761100006,3.31755094229429,3.99084536456871,2.46219629811826
"gene-SAOUHSC_01766",5.60873629952573,7.1435542370779,7.1215094856811,6.38914982402276,6.38211593578477,6.03362211883947,6.00682115942691,6.66299286494265,6.60998124076901,7.35088394732009,7.28367075537264,4.9566712266129
"gene-SAOUHSC_01767",6.32730478320648,7.47182922724488,7.52704964253641,6.58411969749846,6.67255933343965,7.58609078276043,7.59066400417285,6.93784967930866,6.95122151012101,7.80395965852847,7.78437289931078,6.17361800824258
"gene-SAOUHSC_01768",4.24495789190877,4.03023732252689,3.50559044761364,2.76921409593024,2.75840365788272,3.28968107762226,3.6153040120418,4.23991091246808,4.29993258198336,4.02009613483117,4.09173945554806,4.35036382860916
"gene-SAOUHSC_01769",5.86453377811875,6.40768891415091,6.44676242890976,8.56011644238188,8.28623066882182,8.25689597246196,8.21793052792335,7.38859394236052,7.36148280207253,7.96715546589414,7.91889340892275,2.62345659691108
"gene-SAOUHSC_01770",3.96596137191267,3.50501103140423,4.68786989203721,4.12661895681421,5.43144099762678,6.60701751589333,7.15889005030619,5.01575727793544,6.14506901745081,5.74876227702848,5.95306746111439,2.06878226500577
"gene-SAOUHSC_01771",7.92477150657577,8.13621382484482,8.13743528053158,8.11155070775729,8.03530410559536,8.37707331365784,8.31238575543165,7.58560251930686,7.57971667063773,8.20379545882649,8.14982275880704,8.40064250037056
